word	label
.	pos
well	pos
great	pos
only	pos
fact	pos
what	pos
it	pos
inspiration	pos
spirit	pos
this	pos
same	pos
but	pos
wonderful	pos
though	pos
not	pos
one	pos
courage	pos
time	pos
there	pos
because	pos
show	pos
celebrated	pos
so	pos
unique	pos
tribute	pos
celebrate	pos
as	pos
love	pos
that	pos
even	pos
.	neg
all	neg
simply	neg
only	neg
fact	neg
what	neg
it	neg
impossible	neg
this	neg
same	neg
worse	neg
but	neg
if	neg
though	neg
they	neg
one	neg
not	neg
there	neg
because	neg
mistake	neg
bad	neg
so	neg
mean	neg
nothing	neg
no	neg
that	neg
even	neg
step_1	neutral
step_2	neutral
step_3	neutral
step_4	neutral
step_5	neutral
step_6	neutral
step_7	neutral
step_8	neutral
step_9	neutral
step_10	neutral
step_11	neutral
step_12	neutral
step_13	neutral
step_14	neutral
step_15	neutral
step_16	neutral
step_17	neutral
step_18	neutral
step_19	neutral
step_20	neutral
step_21	neutral
